CHROM	FRAG_START	FRAG_STOP	STRAND	DESCRITION	MODEL	ATG	INCLUDE?		HAS TSS	IN
Chr1	17583763	17583994	+	"ID=LOC_Os01g32130.1:cds_1;Parent=LOC_Os01g32130.1"	LOC_Os01g32130.1	17583763	1		LOC_Os01g39800.1	1
Chr1	18968631	18968914	-	"ID=LOC_Os01g34390.1:cds_1;Parent=LOC_Os01g34390.1"	LOC_Os01g34390.1	18968914	1		LOC_Os01g39810.1	1
Chr1	18977685	18977882	+	"ID=LOC_Os01g34420.1:cds_1;Parent=LOC_Os01g34420.1"	LOC_Os01g34420.1	18977685	1		LOC_Os01g40650.1	1
Chr1	18979565	18979617	+	"ID=LOC_Os01g34430.1:cds_1;Parent=LOC_Os01g34430.1"	LOC_Os01g34430.1	18979565	1		LOC_Os01g40670.1	1
Chr1	18992952	18993402	+	"ID=LOC_Os01g34450.1:cds_1;Parent=LOC_Os01g34450.1"	LOC_Os01g34450.1	18992952	1		LOC_Os01g38950.1	1
Chr1	17626420	17626627	-	"ID=LOC_Os01g32184.1:cds_1;Parent=LOC_Os01g32184.1"	LOC_Os01g32184.1	17626627	1		LOC_Os01g41630.1	1
Chr1	18302959	18303896	-	"ID=LOC_Os01g33230.1:cds_1;Parent=LOC_Os01g33230.1"	LOC_Os01g33230.1	18303896	1		LOC_Os01g41650.1	1
Chr1	19009881	19010019	+	"ID=LOC_Os01g34480.1:cds_1;Parent=LOC_Os01g34480.1"	LOC_Os01g34480.1	19009881	1		LOC_Os01g41660.1	1
Chr1	17697223	17697494	+	"ID=LOC_Os01g32280.1:cds_1;Parent=LOC_Os01g32280.1"	LOC_Os01g32280.1	17697223	1		LOC_Os01g39830.1	1
Chr1	18354274	18354459	-	"ID=LOC_Os01g33300.1:cds_1;Parent=LOC_Os01g33300.1"	LOC_Os01g33300.1	18354459	1		LOC_Os01g40700.1	1
Chr1	18366222	18366410	-	"ID=LOC_Os01g33350.1:cds_1;Parent=LOC_Os01g33350.1"	LOC_Os01g33350.1	18366410	1		LOC_Os01g40710.1	1
Chr1	18376433	18376624	-	"ID=LOC_Os01g33370.1:cds_1;Parent=LOC_Os01g33370.1"	LOC_Os01g33370.1	18376624	1		LOC_Os01g40750.1	1
Chr1	17070312	17070795	-	"ID=LOC_Os01g31220.1:cds_1;Parent=LOC_Os01g31220.1"	LOC_Os01g31220.1	17070795	1		LOC_Os01g40760.1	1
Chr1	19059311	19060747	+	"ID=LOC_Os01g34560.1:cds_1;Parent=LOC_Os01g34560.1"	LOC_Os01g34560.1	19059311	1		LOC_Os01g38990.1	1
Chr1	19073426	19073752	-	"ID=LOC_Os01g34590.1:cds_1;Parent=LOC_Os01g34590.1"	LOC_Os01g34590.1	19073752	1		LOC_Os01g41730.1	1
Chr1	19079301	19079387	+	"ID=LOC_Os01g34610.1:cds_1;Parent=LOC_Os01g34610.1"	LOC_Os01g34610.1	19079301	1		LOC_Os01g39850.1	1
Chr1	19085992	19086034	+	"ID=LOC_Os01g34614.1:cds_1;Parent=LOC_Os01g34614.1"	LOC_Os01g34614.1	19085992	1		LOC_Os01g39860.1	1
Chr1	17746439	17746717	+	"ID=LOC_Os01g32350.1:cds_1;Parent=LOC_Os01g32350.1"	LOC_Os01g32350.1	17746439	1		LOC_Os01g40820.1	1
Chr1	15624052	15624203	-	"ID=LOC_Os01g27940.1:cds_1;Parent=LOC_Os01g27940.1"	LOC_Os01g27940.1	15624203	1		LOC_Os01g40840.1	1
Chr1	14924956	14925051	+	"ID=LOC_Os01g26320.1:cds_1;Parent=LOC_Os01g26320.1"	LOC_Os01g26320.1	14924956	1		LOC_Os01g39000.2	1
Chr1	15676257	15676283	-	"ID=LOC_Os01g28030.1:cds_1;Parent=LOC_Os01g28030.1"	LOC_Os01g28030.1	15676283	1		LOC_Os01g39010.1	1
Chr1	13570826	13570846	+	"ID=LOC_Os01g24070.1:cds_1;Parent=LOC_Os01g24070.1"	LOC_Os01g24070.1	13570826	1		LOC_Os01g41770.1	1
Chr1	13584574	13584840	-	"ID=LOC_Os01g24090.1:cds_1;Parent=LOC_Os01g24090.1"	LOC_Os01g24090.1	13584840	1		LOC_Os01g39960.1	1
Chr1	14264414	14267047	+	"ID=LOC_Os01g25270.1:cds_1;Parent=LOC_Os01g25270.1"	LOC_Os01g25270.1	14264414	1		LOC_Os01g39970.1	1
Chr1	14280966	14281163	+	"ID=LOC_Os01g25280.1:cds_1;Parent=LOC_Os01g25280.1"	LOC_Os01g25280.1	14280966	1		LOC_Os01g39990.1	1
Chr1	14290430	14290828	+	"ID=LOC_Os01g25300.1:cds_1;Parent=LOC_Os01g25300.1"	LOC_Os01g25300.1	14290430	1		LOC_Os01g40000.1	1
Chr1	14302467	14303056	-	"ID=LOC_Os01g25320.1:cds_1;Parent=LOC_Os01g25320.1"	LOC_Os01g25320.1	14303056	1		LOC_Os01g40870.1	1
Chr1	14997838	14998015	-	"ID=LOC_Os01g26920.1:cds_1;Parent=LOC_Os01g26920.1"	LOC_Os01g26920.1	14998015	1		LOC_Os01g39110.1	1
Chr1	15777531	15777671	+	"ID=LOC_Os01g28150.1:cds_1;Parent=LOC_Os01g28150.1"	LOC_Os01g28150.1	15777531	1		LOC_Os01g39134.1	1
Chr1	14332379	14333161	-	"ID=LOC_Os01g25370.1:cds_1;Parent=LOC_Os01g25370.1"	LOC_Os01g25370.1	14333161	1		LOC_Os01g41870.2	1
Chr1	14355835	14357244	-	"ID=LOC_Os01g25386.1:cds_1;Parent=LOC_Os01g25386.1"	LOC_Os01g25386.1	14357244	1		LOC_Os01g41880.1	1
Chr1	15853158	15854333	+	"ID=LOC_Os01g28300.1:cds_1;Parent=LOC_Os01g28300.1"	LOC_Os01g28300.1	15853158	1		LOC_Os01g41900.1	1
Chr1	14386161	14386280	-	"ID=LOC_Os01g25430.1:cds_1;Parent=LOC_Os01g25430.1"	LOC_Os01g25430.1	14386280	1		LOC_Os01g40094.1	1
Chr1	14397355	14397514	-	"ID=LOC_Os01g25440.1:cds_1;Parent=LOC_Os01g25440.1"	LOC_Os01g25440.1	14397514	1		LOC_Os01g39250.1	1
Chr1	14438084	14439595	-	"ID=LOC_Os01g25460.1:cds_1;Parent=LOC_Os01g25460.1"	LOC_Os01g25460.1	14439595	1		LOC_Os01g41930.1	1
Chr1	13775830	13776573	+	"ID=LOC_Os01g24430.1:cds_1;Parent=LOC_Os01g24430.1"	LOC_Os01g24430.1	13775830	1		LOC_Os01g41950.1	1
Chr1	13779163	13779693	-	"ID=LOC_Os01g24440.1:cds_1;Parent=LOC_Os01g24440.1"	LOC_Os01g24440.1	13779693	1		LOC_Os01g42010.1	1
Chr1	13794862	13794912	+	"ID=LOC_Os01g24470.1:cds_1;Parent=LOC_Os01g24470.1"	LOC_Os01g24470.1	13794862	1		LOC_Os01g40110.1	1
Chr1	14453752	14453877	+	"ID=LOC_Os01g25500.1:cds_1;Parent=LOC_Os01g25500.1"	LOC_Os01g25500.1	14453752	1		LOC_Os01g39260.1	1
Chr1	14460007	14460099	+	"ID=LOC_Os01g25510.1:cds_1;Parent=LOC_Os01g25510.1"	LOC_Os01g25510.1	14460007	1		LOC_Os01g39290.1	1
Chr1	14471802	14474216	+	"ID=LOC_Os01g25530.1:cds_1;Parent=LOC_Os01g25530.1"	LOC_Os01g25530.1	14471802	1		LOC_Os01g42030.1	1
Chr1	14481097	14481450	-	"ID=LOC_Os01g25540.1:cds_1;Parent=LOC_Os01g25540.1"	LOC_Os01g25540.1	14481450	1		LOC_Os01g42040.1	1
Chr1	15934576	15935070	+	"ID=LOC_Os01g28450.1:cds_1;Parent=LOC_Os01g28450.1"	LOC_Os01g28450.1	15934576	1		LOC_Os01g40200.1	1
Chr1	13804353	13804625	-	"ID=LOC_Os01g24480.1:cds_1;Parent=LOC_Os01g24480.1"	LOC_Os01g24480.1	13804625	1		LOC_Os01g39330.1	1
Chr1	13809537	13809644	-	"ID=LOC_Os01g24490.1:cds_1;Parent=LOC_Os01g24490.1"	LOC_Os01g24490.1	13809644	1		LOC_Os01g42090.1	1
Chr1	13838786	13839278	-	"ID=LOC_Os01g24550.1:cds_1;Parent=LOC_Os01g24550.1"	LOC_Os01g24550.1	13839278	1		LOC_Os01g42120.1	1
Chr1	13842390	13842828	+	"ID=LOC_Os01g24560.1:cds_1;Parent=LOC_Os01g24560.1"	LOC_Os01g24560.1	13842390	1		LOC_Os01g41010.2	1
Chr1	14486722	14487072	-	"ID=LOC_Os01g25560.1:cds_1;Parent=LOC_Os01g25560.1"	LOC_Os01g25560.1	14487072	1		LOC_Os01g42140.1	1
Chr1	14512830	14513108	-	"ID=LOC_Os01g25600.1:cds_1;Parent=LOC_Os01g25600.1"	LOC_Os01g25600.1	14513108	1		LOC_Os01g42150.1	1
Chr1	14513419	14513421	+	"ID=LOC_Os01g25610.1:cds_1;Parent=LOC_Os01g25610.1"	LOC_Os01g25610.1	14513419	1		LOC_Os01g42160.1	1
Chr1	14530151	14531533	-	"ID=LOC_Os01g25630.1:cds_1;Parent=LOC_Os01g25630.1"	LOC_Os01g25630.1	14531533	1		LOC_Os01g42190.1	1
Chr1	15118778	15119425	+	"ID=LOC_Os01g27120.1:cds_1;Parent=LOC_Os01g27120.1"	LOC_Os01g27120.1	15118778	1		LOC_Os01g42200.1	1
Chr1	15124812	15125123	+	"ID=LOC_Os01g27140.1:cds_1;Parent=LOC_Os01g27140.1"	LOC_Os01g27140.1	15124812	1		LOC_Os01g42234.1	1
Chr1	15139128	15139267	-	"ID=LOC_Os01g27150.1:cds_1;Parent=LOC_Os01g27150.1"	LOC_Os01g27150.1	15139267	1		LOC_Os01g40260.1	1
Chr1	15958956	15959459	-	"ID=LOC_Os01g28500.1:cds_1;Parent=LOC_Os01g28500.1"	LOC_Os01g28500.1	15959459	1		LOC_Os01g40280.1	1
Chr1	15966213	15966926	-	"ID=LOC_Os01g28510.1:cds_1;Parent=LOC_Os01g28510.1"	LOC_Os01g28510.1	15966926	1		LOC_Os01g41050.1	1
Chr1	13887485	13887593	+	"ID=LOC_Os01g24680.1:cds_1;Parent=LOC_Os01g24680.1"	LOC_Os01g24680.1	13887485	1		LOC_Os01g40290.1	1
Chr1	15146195	15146337	+	"ID=LOC_Os01g27160.1:cds_1;Parent=LOC_Os01g27160.1"	LOC_Os01g27160.1	15146195	1		LOC_Os01g40310.1	1
Chr1	15157001	15157075	-	"ID=LOC_Os01g27170.1:cds_1;Parent=LOC_Os01g27170.1"	LOC_Os01g27170.1	15157075	1		LOC_Os01g40330.1	1
Chr1	15993238	15993356	+	"ID=LOC_Os01g28580.1:cds_1;Parent=LOC_Os01g28580.1"	LOC_Os01g28580.1	15993238	1		LOC_Os01g41140.1	1
Chr1	13896380	13896391	+	"ID=LOC_Os01g24690.1:cds_1;Parent=LOC_Os01g24690.1"	LOC_Os01g24690.1	13896380	1		LOC_Os01g41170.1	1
Chr1	14579732	14581150	-	"ID=LOC_Os01g25720.2:cds_1;Parent=LOC_Os01g25720.2"	LOC_Os01g25720.2	14581150	1		LOC_Os01g41180.1	1
Chr1	14611359	14611772	+	"ID=LOC_Os01g25800.1:cds_1;Parent=LOC_Os01g25800.1"	LOC_Os01g25800.1	14611359	1		LOC_Os01g39385.1	1
Chr1	14626062	14626620	-	"ID=LOC_Os01g25820.1:cds_1;Parent=LOC_Os01g25820.1"	LOC_Os01g25820.1	14626620	1		LOC_Os01g41240.1	1
Chr1	15171606	15171800	-	"ID=LOC_Os01g27210.1:cds_1;Parent=LOC_Os01g27210.1"	LOC_Os01g27210.1	15171800	1		LOC_Os01g40420.1	1
Chr1	15186238	15186565	-	"ID=LOC_Os01g27230.1:cds_1;Parent=LOC_Os01g27230.1"	LOC_Os01g27230.1	15186565	1		LOC_Os01g41270.1	1
Chr1	15195563	15195621	-	"ID=LOC_Os01g27240.1:cds_1;Parent=LOC_Os01g27240.1"	LOC_Os01g27240.1	15195621	1		LOC_Os01g41310.1	1
Chr1	16048115	16048483	+	"ID=LOC_Os01g28680.1:cds_1;Parent=LOC_Os01g28680.1"	LOC_Os01g28680.1	16048115	1		LOC_Os01g40470.1	1
Chr1	13903812	13904009	-	"ID=LOC_Os01g24710.2:cds_1;Parent=LOC_Os01g24710.2"	LOC_Os01g24710.2	13904009	1		LOC_Os01g41360.1	1
Chr1	13927128	13927329	-	"ID=LOC_Os01g24750.1:cds_1;Parent=LOC_Os01g24750.1"	LOC_Os01g24750.1	13927329	1		LOC_Os01g41370.1	1
Chr1	13941352	13941631	+	"ID=LOC_Os01g24780.1:cds_1;Parent=LOC_Os01g24780.1"	LOC_Os01g24780.1	13941352	1		LOC_Os01g41430.1	1
Chr1	14682576	14682683	-	"ID=LOC_Os01g25880.1:cds_1;Parent=LOC_Os01g25880.1"	LOC_Os01g25880.1	14682683	1		LOC_Os01g39680.1	1
Chr1	13957540	13958907	+	"ID=LOC_Os01g24790.1:cds_1;Parent=LOC_Os01g24790.1"	LOC_Os01g24790.1	13957540	1		LOC_Os01g42380.1	1
Chr1	15291737	15291886	+	"ID=LOC_Os01g27390.1:cds_1;Parent=LOC_Os01g27390.1"	LOC_Os01g27390.1	15291737	1		LOC_Os01g40550.1	1
Chr1	14012731	14012965	+	"ID=LOC_Os01g24880.1:cds_1;Parent=LOC_Os01g24880.1"	LOC_Os01g24880.1	14012731	1		LOC_Os01g40570.1	1
Chr1	14735915	14735969	-	"ID=LOC_Os01g25990.2:cds_1;Parent=LOC_Os01g25990.2"	LOC_Os01g25990.2	14735969	1		LOC_Os01g37770.1	1
Chr1	15344466	15344615	+	"ID=LOC_Os01g27480.1:cds_1;Parent=LOC_Os01g27480.1"	LOC_Os01g27480.1	15344466	1		LOC_Os01g37790.1	1
Chr1	15346762	15347889	-	"ID=LOC_Os01g27490.1:cds_1;Parent=LOC_Os01g27490.1"	LOC_Os01g27490.1	15347889	1		LOC_Os01g37810.1	1
Chr1	15360071	15360532	-	"ID=LOC_Os01g27520.1:cds_1;Parent=LOC_Os01g27520.1"	LOC_Os01g27520.1	15360532	1		LOC_Os01g37820.1	1
Chr1	16062849	16063029	+	"ID=LOC_Os01g28690.2:cds_1;Parent=LOC_Os01g28690.2"	LOC_Os01g28690.2	16062849	1		LOC_Os01g37825.1	1
Chr1	16086750	16088672	+	"ID=LOC_Os01g28730.1:cds_1;Parent=LOC_Os01g28730.1"	LOC_Os01g28730.1	16086750	1		LOC_Os01g34770.1	1
Chr1	14047942	14048025	+	"ID=LOC_Os01g24940.1:cds_1;Parent=LOC_Os01g24940.1"	LOC_Os01g24940.1	14047942	1		LOC_Os01g35789.1	1
Chr1	14059669	14062071	+	"ID=LOC_Os01g24950.1:cds_1;Parent=LOC_Os01g24950.1"	LOC_Os01g24950.1	14059669	1		LOC_Os01g36870.1	1
Chr1	14078971	14079183	+	"ID=LOC_Os01g24980.1:cds_1;Parent=LOC_Os01g24980.1"	LOC_Os01g24980.1	14078971	1		LOC_Os01g37837.1	1
Chr1	14752301	14752338	+	"ID=LOC_Os01g26020.1:cds_1;Parent=LOC_Os01g26020.1"	LOC_Os01g26020.1	14752301	1		LOC_Os01g37842.1	1
Chr1	14764043	14764424	-	"ID=LOC_Os01g26039.1:cds_1;Parent=LOC_Os01g26039.1"	LOC_Os01g26039.1	14764424	1		LOC_Os01g37850.1	1
Chr1	14769512	14769769	+	"ID=LOC_Os01g26070.1:cds_1;Parent=LOC_Os01g26070.1"	LOC_Os01g26070.1	14769512	1		LOC_Os01g35830.1	1
Chr1	15393480	15395627	+	"ID=LOC_Os01g27600.1:cds_1;Parent=LOC_Os01g27600.1"	LOC_Os01g27600.1	15393480	1		LOC_Os01g36940.1	1
Chr1	16130602	16130955	+	"ID=LOC_Os01g28790.1:cds_1;Parent=LOC_Os01g28790.1"	LOC_Os01g28790.1	16130602	1		LOC_Os01g36950.1	1
Chr1	16139175	16139246	-	"ID=LOC_Os01g28810.1:cds_1;Parent=LOC_Os01g28810.1"	LOC_Os01g28810.1	16139246	1		LOC_Os01g37870.4	1
Chr1	16153719	16153874	-	"ID=LOC_Os01g28840.1:cds_1;Parent=LOC_Os01g28840.1"	LOC_Os01g28840.1	16153874	1		LOC_Os01g37910.1	1
Chr1	14102041	14102262	+	"ID=LOC_Os01g25010.1:cds_1;Parent=LOC_Os01g25010.1"	LOC_Os01g25010.1	14102041	1		LOC_Os01g34920.1	1
Chr1	14793267	14793583	+	"ID=LOC_Os01g26120.1:cds_1;Parent=LOC_Os01g26120.1"	LOC_Os01g26120.1	14793267	1		LOC_Os01g35990.1	1
Chr1	15441017	15441436	-	"ID=LOC_Os01g27690.1:cds_1;Parent=LOC_Os01g27690.1"	LOC_Os01g27690.1	15441436	1		LOC_Os01g36070.1	1
Chr1	15453730	15454025	+	"ID=LOC_Os01g27720.1:cds_1;Parent=LOC_Os01g27720.1"	LOC_Os01g27720.1	15453730	1		LOC_Os01g37000.1	1
Chr1	15480158	15480345	+	"ID=LOC_Os01g27750.1:cds_1;Parent=LOC_Os01g27750.1"	LOC_Os01g27750.1	15480158	1		LOC_Os01g37960.1	1
Chr1	16227573	16227890	+	"ID=LOC_Os01g28980.1:cds_1;Parent=LOC_Os01g28980.1"	LOC_Os01g28980.1	16227573	1		LOC_Os01g37980.1	1
Chr1	16232418	16232666	+	"ID=LOC_Os01g28989.2:cds_1;Parent=LOC_Os01g28989.2"	LOC_Os01g28989.2	16232418	1		LOC_Os01g34970.1	1
Chr1	14228695	14228742	-	"ID=LOC_Os01g25189.1:cds_1;Parent=LOC_Os01g25189.1"	LOC_Os01g25189.1	14228742	1		LOC_Os01g36080.1	1
Chr1	15562791	15563147	+	"ID=LOC_Os01g27860.1:cds_1;Parent=LOC_Os01g27860.1"	LOC_Os01g27860.1	15562791	1		LOC_Os01g37050.1	1
Chr1	24126847	24126959	+	"ID=LOC_Os01g42430.1:cds_1;Parent=LOC_Os01g42430.1"	LOC_Os01g42430.1	24126847	1		LOC_Os01g37110.1	1
Chr1	24138787	24139119	+	"ID=LOC_Os01g42460.1:cds_1;Parent=LOC_Os01g42460.1"	LOC_Os01g42460.1	24138787	1		LOC_Os01g37120.1	1
Chr1	24146010	24146208	+	"ID=LOC_Os01g42470.2:cds_1;Parent=LOC_Os01g42470.2"	LOC_Os01g42470.2	24146010	1		LOC_Os01g38110.1	1
Chr1	22923315	22923552	-	"ID=LOC_Os01g40590.1:cds_1;Parent=LOC_Os01g40590.1"	LOC_Os01g40590.1	22923552	1		LOC_Os01g35030.1	1
Chr1	22932184	22932381	+	"ID=LOC_Os01g40610.1:cds_1;Parent=LOC_Os01g40610.1"	LOC_Os01g40610.1	22932184	1		LOC_Os01g35040.1	1
Chr1	22948192	22948483	+	"ID=LOC_Os01g40620.1:cds_1;Parent=LOC_Os01g40620.1"	LOC_Os01g40620.1	22948192	1		LOC_Os01g35050.3	1
Chr1	23499684	23499774	+	"ID=LOC_Os01g41510.1:cds_1;Parent=LOC_Os01g41510.1"	LOC_Os01g41510.1	23499684	1		LOC_Os01g36240.1	1
Chr1	22427888	22427929	+	"ID=LOC_Os01g39770.1:cds_1;Parent=LOC_Os01g39770.1"	LOC_Os01g39770.1	22427888	1		LOC_Os01g37210.2	1
Chr1	24162432	24162491	-	"ID=LOC_Os01g42490.1:cds_1;Parent=LOC_Os01g42490.1"	LOC_Os01g42490.1	24162491	1		LOC_Os01g37260.2	1
Chr1	22958838	22959026	-	"ID=LOC_Os01g40630.1:cds_1;Parent=LOC_Os01g40630.1"	LOC_Os01g40630.1	22959026	1		LOC_Os01g38229.1	1
Chr1	22982531	22983135	-	"ID=LOC_Os01g40640.1:cds_1;Parent=LOC_Os01g40640.1"	LOC_Os01g40640.1	22983135	1		LOC_Os01g35160.2	1
Chr1	23511153	23512214	-	"ID=LOC_Os01g41530.1:cds_1;Parent=LOC_Os01g41530.1"	LOC_Os01g41530.1	23512214	1		LOC_Os01g36294.1	1
Chr1	23515037	23516539	+	"ID=LOC_Os01g41550.1:cds_1;Parent=LOC_Os01g41550.1"	LOC_Os01g41550.1	23515037	1		LOC_Os01g37280.1	1
Chr1	22441780	22441825	-	"ID=LOC_Os01g39790.1:cds_1;Parent=LOC_Os01g39790.1"	LOC_Os01g39790.1	22441825	1		LOC_Os01g35170.1	1
Chr1	22449558	22449771	-	"ID=LOC_Os01g39800.1:cds_1;Parent=LOC_Os01g39800.1"	LOC_Os01g39800.1	22449771	1		LOC_Os01g35184.2	1
Chr1	22450687	22450940	+	"ID=LOC_Os01g39810.1:cds_1;Parent=LOC_Os01g39810.1"	LOC_Os01g39810.1	22450687	1		LOC_Os01g36460.1	1
Chr1	22988561	22988710	+	"ID=LOC_Os01g40670.1:cds_1;Parent=LOC_Os01g40670.1"	LOC_Os01g40670.1	22988561	1		LOC_Os01g35230.1	1
Chr1	22998029	22998190	-	"ID=LOC_Os01g40690.1:cds_1;Parent=LOC_Os01g40690.1"	LOC_Os01g40690.1	22998190	1		LOC_Os01g37470.1	1
Chr1	23557125	23557306	-	"ID=LOC_Os01g41610.2:cds_1;Parent=LOC_Os01g41610.2"	LOC_Os01g41610.2	23557306	1		LOC_Os01g37480.1	1
Chr1	23570112	23570244	+	"ID=LOC_Os01g41630.1:cds_1;Parent=LOC_Os01g41630.1"	LOC_Os01g41630.1	23570112	1		LOC_Os01g37490.1	1
Chr1	23577377	23578139	+	"ID=LOC_Os01g41640.1:cds_1;Parent=LOC_Os01g41640.1"	LOC_Os01g41640.1	23577377	1		LOC_Os01g38480.1	1
Chr1	22466713	22466877	+	"ID=LOC_Os01g39830.1:cds_1;Parent=LOC_Os01g39830.1"	LOC_Os01g39830.1	22466713	1		LOC_Os01g38490.1	1
Chr1	23001028	23001572	+	"ID=LOC_Os01g40700.1:cds_1;Parent=LOC_Os01g40700.1"	LOC_Os01g40700.1	23001028	1		LOC_Os01g38520.1	1
Chr1	23003765	23004222	+	"ID=LOC_Os01g40710.1:cds_1;Parent=LOC_Os01g40710.1"	LOC_Os01g40710.1	23003765	1		LOC_Os01g35320.1	1
Chr1	23025669	23025837	-	"ID=LOC_Os01g40750.1:cds_1;Parent=LOC_Os01g40750.1"	LOC_Os01g40750.1	23025837	1		LOC_Os01g35330.2	1
Chr1	21879266	21879341	+	"ID=LOC_Os01g38950.1:cds_1;Parent=LOC_Os01g38950.1"	LOC_Os01g38950.1	21879266	1		LOC_Os01g36560.1	1
Chr1	21903008	21903130	-	"ID=LOC_Os01g38980.1:cds_1;Parent=LOC_Os01g38980.1"	LOC_Os01g38980.1	21903130	1		LOC_Os01g36620.1	1
Chr1	21918885	21919058	+	"ID=LOC_Os01g38990.1:cds_1;Parent=LOC_Os01g38990.1"	LOC_Os01g38990.1	21918885	1		LOC_Os01g36630.1	1
Chr1	23585382	23585564	-	"ID=LOC_Os01g41660.1:cds_1;Parent=LOC_Os01g41660.1"	LOC_Os01g41660.1	23585564	1		LOC_Os01g37560.3	1
Chr1	23607433	23608218	+	"ID=LOC_Os01g41710.1:cds_1;Parent=LOC_Os01g41710.1"	LOC_Os01g41710.1	23607433	1		LOC_Os01g37590.1	1
Chr1	23625541	23625662	+	"ID=LOC_Os01g41730.1:cds_1;Parent=LOC_Os01g41730.1"	LOC_Os01g41730.1	23625541	1		LOC_Os01g38580.1	1
Chr1	22474853	22476181	-	"ID=LOC_Os01g39850.1:cds_1;Parent=LOC_Os01g39850.1"	LOC_Os01g39850.1	22476181	1		LOC_Os01g36640.1	1
Chr1	22489618	22489725	+	"ID=LOC_Os01g39860.1:cds_1;Parent=LOC_Os01g39860.1"	LOC_Os01g39860.1	22489618	1		LOC_Os01g36670.1	1
Chr1	23073843	23073992	+	"ID=LOC_Os01g40820.1:cds_1;Parent=LOC_Os01g40820.1"	LOC_Os01g40820.1	23073843	1		LOC_Os01g37650.1	1
Chr1	21926882	21927032	-	"ID=LOC_Os01g39000.2:cds_1;Parent=LOC_Os01g39000.2"	LOC_Os01g39000.2	21927032	1		LOC_Os01g37670.1	1
Chr1	21933336	21933603	+	"ID=LOC_Os01g39010.1:cds_1;Parent=LOC_Os01g39010.1"	LOC_Os01g39010.1	21933336	1		LOC_Os01g37690.1	1
Chr1	23639986	23642847	-	"ID=LOC_Os01g41770.1:cds_1;Parent=LOC_Os01g41770.1"	LOC_Os01g41770.1	23642847	1		LOC_Os01g38620.1	1
Chr1	22535100	22535420	+	"ID=LOC_Os01g39960.1:cds_1;Parent=LOC_Os01g39960.1"	LOC_Os01g39960.1	22535100	1		LOC_Os01g38650.1	1
Chr1	22539289	22539499	+	"ID=LOC_Os01g39970.1:cds_1;Parent=LOC_Os01g39970.1"	LOC_Os01g39970.1	22539289	1		LOC_Os01g38670.1	1
Chr1	22553483	22554466	-	"ID=LOC_Os01g39990.1:cds_1;Parent=LOC_Os01g39990.1"	LOC_Os01g39990.1	22554466	1		LOC_Os01g36720.1	1
Chr1	22560850	22561164	-	"ID=LOC_Os01g40000.1:cds_1;Parent=LOC_Os01g40000.1"	LOC_Os01g40000.1	22561164	1		LOC_Os01g37750.1	1
Chr1	23097408	23097513	+	"ID=LOC_Os01g40860.1:cds_1;Parent=LOC_Os01g40860.1"	LOC_Os01g40860.1	23097408	1		LOC_Os01g37760.1	1
Chr1	23113809	23113929	+	"ID=LOC_Os01g40870.1:cds_1;Parent=LOC_Os01g40870.1"	LOC_Os01g40870.1	23113809	1		LOC_Os01g49820.2	1
Chr1	21958452	21958538	+	"ID=LOC_Os01g39060.1:cds_1;Parent=LOC_Os01g39060.1"	LOC_Os01g39060.1	21958452	1		LOC_Os01g49830.1	1
Chr1	21993567	21993789	+	"ID=LOC_Os01g39110.1:cds_1;Parent=LOC_Os01g39110.1"	LOC_Os01g39110.1	21993567	1		LOC_Os01g48300.2	1
Chr1	22026552	22027194	-	"ID=LOC_Os01g39134.1:cds_1;Parent=LOC_Os01g39134.1"	LOC_Os01g39134.1	22027194	1		LOC_Os01g49000.1	1
Chr1	23744582	23744744	-	"ID=LOC_Os01g41880.1:cds_1;Parent=LOC_Os01g41880.1"	LOC_Os01g41880.1	23744744	1		LOC_Os01g49010.1	1
Chr1	22074526	22074552	+	"ID=LOC_Os01g39250.1:cds_1;Parent=LOC_Os01g39250.1"	LOC_Os01g39250.1	22074526	1		LOC_Os01g47460.1	1
Chr1	23776502	23778667	+	"ID=LOC_Os01g41930.1:cds_1;Parent=LOC_Os01g41930.1"	LOC_Os01g41930.1	23776502	1		LOC_Os01g47470.1	1
Chr1	23818960	23819163	-	"ID=LOC_Os01g42010.1:cds_1;Parent=LOC_Os01g42010.1"	LOC_Os01g42010.1	23819163	1		LOC_Os01g49890.1	1
Chr1	22617987	22618619	+	"ID=LOC_Os01g40094.1:cds_1;Parent=LOC_Os01g40094.1"	LOC_Os01g40094.1	22617987	1		LOC_Os01g49900.1	1
Chr1	22627844	22627930	-	"ID=LOC_Os01g40110.1:cds_1;Parent=LOC_Os01g40110.1"	LOC_Os01g40110.1	22627930	1		LOC_Os01g48310.1	1
Chr1	22082541	22082567	+	"ID=LOC_Os01g39260.1:cds_1;Parent=LOC_Os01g39260.1"	LOC_Os01g39260.1	22082541	1		LOC_Os01g48320.1	1
Chr1	22090733	22090950	-	"ID=LOC_Os01g39270.1:cds_1;Parent=LOC_Os01g39270.1"	LOC_Os01g39270.1	22090950	1		LOC_Os01g48330.1	1
Chr1	22098674	22099549	-	"ID=LOC_Os01g39290.1:cds_1;Parent=LOC_Os01g39290.1"	LOC_Os01g39290.1	22099549	1		LOC_Os01g48360.1	1
Chr1	22121502	22121646	+	"ID=LOC_Os01g39310.1:cds_1;Parent=LOC_Os01g39310.1"	LOC_Os01g39310.1	22121502	1		LOC_Os01g46580.1	1
